Benchmark,Method,Iter,Sec
long-assert(2),pctwm,387,57.427709
long-assert(2),pctwm,1446,211.995484
long-assert(2),pctwm,2786,468.333030
long-assert(2),pctwm,131,24.813206
long-assert(2),pctwm,3632,548.316300
long-assert(2),pctwm,1535,291.400398
long-assert(2),pctwm,598,94.469233
long-assert(2),pctwm,2979,467.415333
long-assert(2),pctwm,996,162.979512
long-assert(2),pctwm,3968,649.526281
long-assert(2),pctwm,8434,1336.370520
long-assert(2),pctwm,1572,261.420759
long-assert(2),pctwm,11636,1800.096649
long-assert(2),pctwm,11539,1800.130456
long-assert(2),pctwm,7317,1108.242609
long-assert(2),pctwm,5597,803.317458
long-assert(2),pctwm,990,130.213029
long-assert(2),pctwm,3441,458.786743
long-assert(2),pctwm,6922,927.140693
long-assert(2),pctwm,2359,313.141472
long-assert(2),pctwm,4053,538.402321
long-assert(2),pctwm,4325,578.760595
long-assert(2),pctwm,337,44.789399
long-assert(2),pctwm,2243,301.482901
long-assert(2),pctwm,3907,519.428643
long-assert(2),pctwm,4872,644.857480
long-assert(2),pctwm,13554,1800.006278
long-assert(2),pctwm,21,2.643240
long-assert(2),pctwm,8547,1137.348669
long-assert(2),pctwm,87,12.018213
long-assert(2),pctwm,6462,863.041896
long-assert(2),pctwm,10788,1428.201772
long-assert(2),pctwm,1340,174.739690
long-assert(2),pctwm,3871,511.111822
long-assert(2),pctwm,150,20.135832
long-assert(2),pctwm,5008,673.360965
long-assert(2),pctwm,340,45.426490
long-assert(2),pctwm,13596,1800.052555
long-assert(2),pctwm,4689,614.206501
long-assert(2),pctwm,447,60.333731
long-assert(2),pctwm,802,106.331021
long-assert(2),pctwm,978,133.094144
long-assert(2),pctwm,13650,1800.166893
long-assert(2),pctwm,1160,154.047101
long-assert(2),pctwm,8169,1074.359252
long-assert(2),pctwm,5864,766.189489
long-assert(2),pctwm,3134,426.022955
long-assert(2),pctwm,2475,339.303067
long-assert(2),pctwm,1754,239.389883
long-assert(2),pctwm,7522,1012.750018
long-assert(2),pctwm,13521,1800.016015
long-assert(2),pctwm,3277,446.678296
long-assert(2),pctwm,5358,725.509090
long-assert(2),pctwm,13375,1800.038307
long-assert(2),pctwm,3119,425.371252
long-assert(2),pctwm,6765,930.402460
long-assert(2),pctwm,4757,649.622411
long-assert(2),pctwm,1970,265.215440
long-assert(2),pctwm,2511,342.554983
long-assert(2),pctwm,12489,1695.418974
long-assert(2),pctwm,1236,164.002959
long-assert(2),pctwm,4532,613.204755
long-assert(2),pctwm,4663,624.281626
long-assert(2),pctwm,2393,322.172543
long-assert(2),pctwm,2712,364.395542
long-assert(2),pctwm,1429,194.001567
long-assert(2),pctwm,1401,191.453503
long-assert(2),pctwm,48,6.731438
long-assert(2),pctwm,8310,1118.693614
long-assert(2),pctwm,13367,1800.037552
long-assert(2),pctwm,3666,501.888893
long-assert(2),pctwm,2687,364.964893
long-assert(2),pctwm,4796,649.432584
long-assert(2),pctwm,2405,327.543505
long-assert(2),pctwm,2321,317.252958
long-assert(2),pctwm,5990,818.091521
long-assert(2),pctwm,588,77.418927
long-assert(2),pctwm,1506,198.031166
long-assert(2),pctwm,3176,424.952040
long-assert(2),pctwm,4431,599.630232
long-assert(2),pctwm,3451,452.919875
long-assert(2),pctwm,3980,528.047626
long-assert(2),pctwm,2463,333.198545
long-assert(2),pctwm,4029,536.313698
long-assert(2),pctwm,13610,1800.074992
long-assert(2),pctwm,3414,457.056840
long-assert(2),pctwm,13612,1800.046305
long-assert(2),pctwm,3665,494.267262
long-assert(2),pctwm,143,18.678487
long-assert(2),pctwm,1792,239.821687
long-assert(2),pctwm,12752,1695.257916
long-assert(2),pctwm,2216,289.484322
long-assert(2),pctwm,266,36.065165
long-assert(2),pctwm,3525,465.916912
long-assert(2),pctwm,2809,372.912975
long-assert(2),pctwm,2123,281.892840
long-assert(2),pctwm,4108,537.218116
long-assert(2),pctwm,9696,1274.268329
long-assert(2),pctwm,13657,1800.104146
long-assert(2),pctwm,833,110.877968
long-assert(2),pctwm,7910,1032.234311
long-assert(2),pctwm,8137,1066.332526
long-assert(2),pctwm,712,92.721922
long-assert(2),pctwm,278,35.171408
long-assert(2),pctwm,2743,341.165374
long-assert(2),pctwm,13641,1800.026916
long-assert(2),pctwm,7910,1068.624236
long-assert(2),pctwm,13562,1800.020841
long-assert(2),pctwm,2486,342.335175
long-assert(2),pctwm,2065,278.254927
long-assert(2),pctwm,2565,345.567269
long-assert(2),pctwm,4488,599.896933
long-assert(2),pctwm,13159,1800.015742
long-assert(2),pctwm,10155,1397.045220
long-assert(2),pctwm,432,60.389598
long-assert(2),pctwm,12127,1675.299398
long-assert(2),pctwm,6210,773.693346
long-assert(2),pctwm,108,10.592994
long-assert(2),pctwm,219,21.537132
long-assert(2),pctwm,446,45.251971
long-assert(2),pctwm,16703,1800.018930
long-assert(2),pctwm,311,29.148203
long-assert(2),pctwm,1283,119.256377
long-assert(2),pctwm,18609,1745.645290
long-assert(2),pctwm,189,18.453098
long-assert(2),pctwm,4183,391.009440
long-assert(2),pctwm,2476,239.995018
long-assert(2),pctwm,4756,453.499964
long-assert(2),pctwm,522,51.242126
long-assert(2),pctwm,996,95.492495
