Benchmark,Method,Iter,Sec
mp(9),pctwm,9495,-
mp(9),pctwm,10829,-
mp(9),pctwm,10970,-
mp(9),pctwm,10526,-
mp(9),pctwm,10522,-
mp(9),pctwm,10729,-
mp(9),pctwm,10861,-
mp(9),pctwm,10947,-
mp(9),pctwm,10613,-
mp(9),pctwm,10876,-
mp(9),pctwm,15404,-
mp(9),pctwm,15412,-
mp(9),pctwm,15634,-
mp(9),pctwm,19411,-
mp(9),pctwm,19827,-
mp(9),pctwm,19534,-
mp(9),pctwm,21298,-
mp(9),pctwm,23195,-
mp(9),pctwm,69185,-
mp(9),pctwm,78366,-
mp(9),pctwm,69961,-
mp(9),pctwm,66154,-
mp(9),pctwm,62746,-
mp(9),pctwm,59733,-
mp(9),pctwm,60362,-
mp(9),pctwm,55436,-
mp(9),pctwm,57290,-
mp(9),pctwm,52637,-
mp(9),pctwm,51175,-
mp(9),pctwm,53808,-
