Benchmark,Method,Iter,Sec
n1-val(200),pctwm,1,.053710
n1-val(200),pctwm,42,8.417037
n1-val(200),pctwm,376,93.704984
n1-val(200),pctwm,170,46.820070
n1-val(200),pctwm,309,82.658633
n1-val(200),pctwm,555,131.334500
n1-val(200),pctwm,66,13.609887
n1-val(200),pctwm,506,120.042060
n1-val(200),pctwm,109,25.151026
n1-val(200),pctwm,188,37.325787
n1-val(200),pctwm,727,167.079455
n1-val(200),pctwm,317,78.553766
n1-val(200),pctwm,51,12.708628
n1-val(200),pctwm,78,19.327849
n1-val(200),pctwm,125,25.713756
n1-val(200),pctwm,22,4.631907
n1-val(200),pctwm,225,48.286915
n1-val(200),pctwm,38,8.206263
n1-val(200),pctwm,227,52.486994
n1-val(200),pctwm,523,129.103874
n1-val(200),pctwm,135,31.759293
n1-val(200),pctwm,274,67.083417
n1-val(200),pctwm,42,9.580099
n1-val(200),pctwm,27,5.845482
n1-val(200),pctwm,64,14.848410
n1-val(200),pctwm,286,66.223867
n1-val(200),pctwm,169,34.340143
n1-val(200),pctwm,1,.116122
n1-val(200),pctwm,24,4.893709
n1-val(200),pctwm,213,40.930354
